transaction_id,transaction_date,customer_id,customer_name,customer_type,account_open_date,risk_category,kyc_status,transaction_type,amount_inr,currency,transaction_mode,counterfeit_flag,country_of_origin,pep_flag,occupation,annual_income_inr,branch_code,agent_id,notes,violated_rule_ids,violation_category
TXN0001,2024-03-15,CUST1001,Arvind Mehta,Individual,2023-01-10,Low,Full_KYC_Completed,Cash Deposit,25000,INR,Cash,N,India,N,Salaried,480000,BR001,AGT012,Routine salary deposit,,
TXN0002,2024-03-15,CUST1002,Bhavna Enterprises,Proprietorship,2022-06-15,Medium,Full_KYC_Completed,Cash Withdrawal,1250000,INR,Cash,N,India,N,Business,5000000,BR002,AGT045,High cash withdrawal for business,,
TXN0003,2024-03-14,CUST1003,Sunil Kumar Sharma,Individual,2023-11-20,Low,Full_KYC_Completed,Online Transfer,55000,INR,RTGS,N,India,N,Pensioner,360000,BR003,,Transfer to son's education account,,
TXN0004,2024-03-14,CUST1004,Global Imports Ltd,Company,2021-09-01,High,Full_KYC_Completed,Wire Transfer,4500000,INR,SWIFT,N,China,N,Import Business,25000000,BR004,,Payment to supplier in Shenzhen,,
TXN0005,2024-03-13,CUST1005,Farida Khan,Individual,2024-02-28,Medium,Partial_KYC,Cheque Deposit,150000,INR,Cheque,N,India,N,Self-employed,1200000,BR005,AGT078,Cheque from real estate deal,,
TXN0006,2024-03-13,CUST1006,M/s Ram Lal & Sons,Partnership,2019-04-10,Medium,Full_KYC_Completed,Cash Deposit,875000,INR,Cash,N,India,N,Wholesale Trade,8000000,BR006,,Daily business collection,,
TXN0007,2024-03-12,CUST1007,David Abraham,Individual,2023-07-19,Low,Full_KYC_Completed,Demand Draft,100000,INR,DD,N,India,N,IT Professional,1800000,BR007,,DD issued for property registration,,
TXN0008,2024-03-12,CUST1008,Shanti Niketan Trust,Trust,2020-12-05,High,Full_KYC_Completed,Cash Deposit,250000,INR,Cash,Y,India,N,NGO Director,6000000,BR008,AGT091,Three counterfeit 500 rupee notes detected,R-009|Annex-II,Counterfeit Currency Reporting - CCR required within 7 days
TXN0009,2024-03-11,CUST1009,Rahul Khanna,Individual,2024-01-15,Low,Full_KYC_Completed,Online Transfer,35000,INR,NEFT,N,India,N,Software Engineer,2400000,BR009,,Monthly EMI payment,,
TXN0010,2024-03-11,CUST1010,Pearl Fashion Studio,Proprietorship,2022-08-22,Medium,Full_KYC_Completed,Cash Deposit,950000,INR,Cash,N,India,N,Boutique Owner,3500000,BR010,AGT034,Post-festival season cash deposit,,
TXN0011,2024-03-10,CUST1011,Mohammed Yusuf,Individual,2023-05-14,Medium,Full_KYC_Completed,Cash Withdrawal,1800000,INR,Cash,N,India,N,Businessman,15000000,BR011,AGT067,Withdrawal for urgent family medical treatment,,
TXN0012,2024-03-10,CUST1012,InfraTech Solutions Pvt Ltd,Company,2021-03-01,High,Full_KYC_Completed,Wire Transfer,22000000,INR,SWIFT,N,UAE,N,Construction,120000000,BR012,,Advance payment to Dubai-based contractor,,
TXN0013,2024-03-09,CUST1013,Anita Desai,Individual,2024-02-10,Low,Full_KYC_Completed,Cash Deposit,45000,INR,Cash,N,India,N,Teacher,600000,BR013,,Gift from parents,,
TXN0014,2024-03-09,CUST1014,City Jewelers,Partnership,2018-11-05,High,Full_KYC_Completed,Cash Deposit,3500000,INR,Cash,N,India,N,Jewellery Retail,45000000,BR014,AGT112,High-value cash deposit - properly categorized as high risk,,
TXN0015,2024-03-08,CUST1015,Rajeshwari Foundation,Trust,2022-04-18,High,Full_KYC_Completed,Online Transfer,750000,INR,NEFT,N,India,N,Charity Director,2000000,BR015,,Donation received for education project,,
TXN0016,2024-03-08,CUST1016,Harpreet Singh,Individual,2023-09-30,Low,Full_KYC_Completed,Cash Deposit,12000,INR,Cash,N,India,N,Army Personnel,720000,BR016,,Routine savings deposit,,
TXN0017,2024-03-07,CUST1017,Shreya Traders,Proprietorship,2023-06-12,Medium,Full_KYC_Completed,Cash Deposit,275000,INR,Cash,N,India,N,Wholesale,3000000,BR017,,Daily business cash deposit,,
TXN0018,2024-03-07,CUST1018,Vikram Seth,Individual,2024-01-05,Low,Partial_KYC,Cash Deposit,48000,INR,Cash,N,India,N,Freelancer,900000,BR018,,Under simplified KYC limit - compliant,,
TXN0019,2024-03-06,CUST1019,Kiran Exports,Company,2020-09-14,High,Full_KYC_Completed,Wire Transfer,6750000,INR,SWIFT,N,USA,N,Export Business,85000000,BR019,,Payment for US-based client services,,
TXN0020,2024-03-06,CUST1020,Alok Verma,Individual,2022-12-20,Medium,Full_KYC_Completed,Cash Withdrawal,1100000,INR,Cash,N,India,N,Real Estate,12000000,BR020,,Withdrawal for property advance payment,,
TXN0021,2024-03-05,CUST1021,Grameen Vikas NGO,NGO,2019-07-08,High,Full_KYC_Completed,Cash Deposit,420000,INR,Cash,N,India,N,NGO Director,5000000,BR021,,Donation collection from village campaign,,
TXN0022,2024-03-05,CUST1022,Meera Nair,Individual,2023-10-22,Low,Full_KYC_Completed,Online Transfer,25000,INR,NEFT,N,India,N,Corporate Employee,1200000,BR022,,Investment in mutual fund,,
TXN0023,2024-03-04,CUST1023,Prestige Bullion Pvt Ltd,Company,2020-05-19,High,Full_KYC_Completed,Cash Deposit,12500000,INR,Cash,N,India,N,Bullion Dealer,500000000,BR023,,Large cash deposit from bullion sales - high risk category applied,,
TXN0024,2024-03-04,CUST1024,Anwar Sheikh,Individual,2024-02-20,Low,Full_KYC_Completed,Cheque Deposit,185000,INR,Cheque,N,India,N,Transport,1500000,BR024,AGT145,Cheque from vehicle sale,,
TXN0025,2024-03-03,CUST1025,Coastal Fisheries,Partnership,2021-11-11,Medium,Full_KYC_Completed,Cash Deposit,630000,INR,Cash,N,India,N,Fishing Business,7000000,BR025,,Post-harvest cash deposit,,
TXN0026,2024-03-20,CUST9001,John Doe,Individual,2024-03-20,Not_Assigned,No_KYC,Cash Deposit,2500000,INR,Cash,N,India,N,Unknown,0,BR999,AGT999,Account opened without any KYC documentation,R-001|R-002,Anonymous Account / No KYC
TXN0027,2024-03-18,CUST9002,Al-Qaida Trading Group,Company,2024-03-18,Low,Partial_KYC,Wire Transfer,5000000,INR,SWIFT,N,Syria,N,Trading,10000000,BR998,,Customer name matches UNSCR terrorist list,R-013,UNSCR 1267 Terrorist List Violation
